"Raw material","Crystallinity pre-DVS","Weight loss (% wt to Temp °C)","% Weight change (25 °C)",,,"Crystallinity","Hygroscopicity classification"
"30% RH (%)","65% RH (%)","80% RH (%)","Post-DVS"
"β-Cyclodextrin","Crystalline","12.5% to 150","1.2","1.5","1.9","Same","H-3"
"Betadex Sulfobutyl Ether Sodium (Captisol®)","Amorphous","9.4% to 150","−0.2","11.1","24.8","Liquid","H-4"
"Calcium Acetate","Crystalline","1.9% to 175","−0.1","0.5","1.0","Different","H-2"
"Carboxymethylcellulose Sodium","Amorphous","8.4% to 150","1.6","11.7","22.3","Same","H-4"
"Carnauba Wax","Crystalline","0.1% to 150","0.0","0.1","0.1","Same","H-1"
"Citric Acid (Lot 1)","Crystalline","0.0% to 150","0, 0","0, 0","16.6, 2.9","Liquid, Same","H-4"
"Citric Acid (Lot 2)","Crystalline","0.0% to 150","0, 0","0, 0","45.9, 10.4","Liquid, Liquid","H-4"
"Colloidal Silicon Dioxide","Amorphous","0.2% to 150","0.0","1.0","2.9","Same","H-3"
"Copovidone (Kollidon VA 64)","Amorphous","3.6% to 150","0.0","8.7","17.4","Liquid","H-4"
"Croscarmellose Sodium (Ac-Di-Sol)","Amorphous","7.3% to 175","−0.4","7.4","14.6","Same","H-3"
"Crospovidone (Polyplasdone XL)","Amorphous","6.8% to 125","2.4","14.0","23.9","Same","H-4"
"Dicalcium Phosphate","Crystalline","0.2% to 175","0.0","0.0","0.1","Same","H-1"
"Fumaric Acid","Crystalline","0.0% to 150","0.0","0.0","0.0","Same","H-1"
"Glyceryl Dibehenate (Compritol® 888 ATO)","Crystalline","0.6% to 150","0.0","0.4","0.8","Same","H-2"
"Hydroxypropyl Methylcellulose (MethocelTM K100LVCR)","Amorphous","2.9% to 150","−0.4","5.9","11.0","Same","H-3"
"Hydroxypropyl Methylcellulose (MethocelTM K100MCR)","Amorphous","2.9% to 150","0.0","5.9","11.0","Same","H-3"
"Hydroxypropyl Methylcellulose (MethocelTM K15MCR)","Amorphous","2.6% to 150","0.1","7.3","12.3","Same","H-3"
"Hydroxypropyl Methylcellulose (MethocelTM K3LV)","Amorphous","2.4% to 150","−0.2","5.0","10.5","Same","H-3"
"Hydroxypropyl Methylcellulose (MethocelTM K4MCR)","Amorphous","4.0% to 150","−0.5","7.0","12.1","Same","H-3"
"Hydroxypropyl Methylcellulose Acetate Succinate","Amorphous","1.4% to 150","0.1","2.6","4.6","Same","H-3"
"Hydroxypropylcellulose (Klucel EXF)","Amorphous","1.2% to 100","0.0","4.8","9.4","Same","H-3"
"Indigo Carmine (Acid Blue 74)","Crystalline","5.6% to 150","0.2","1.3","8.0","Same","H-3"
"Lactose (SheffieldTM DT)","Crystalline","0.5% to 150","0.0","0.0","0.5","Same","H-2"
"Magnesium Stearate (HyQual®)","Crystalline","3.6% to 125","0.0","0.1","0.2","Same","H-1"
"Maize Starch","Crystalline","7.9%, 11.3% to 175","0, −2.0","4.2, 3.2","8.0, 6.2","Same, Same","H-3"
"Maltodextrin","Amorphous","6.4% to 175","−0.2","4.7","10.4","Same","H-3"
"Mannitol","Crystalline","0.1% to 175","0, 0","0, 0.1","0.1, 0.2","Same, Same","H-2"
"Microcrystalline Cellulose (Avicel® PH-101)","Crystalline","4.0% to 125","−0.1","2.8","5.0","Same","H-3"
"Microcrystalline Cellulose (Avicel® PH-102)","Crystalline","3.8% to 150","−0.1","2.7","4.9","Same","H-3"
"Microcrystalline Cellulose (Avicel® PH-200)","Crystalline","3.6% to 150","−0.4","3.1","5.4","Same","H-3"
"Myo-Inositol","Crystalline","0.0% to 150","0.0","0.0","0.0","Same","H-1"
"N-Lauroylsarcosine sodium (Sarkosyl NL)","Crystalline","0.8% to 125","3.0","2.1","3.4","Amorphous","H-3"
"Opadry® II","Crystalline","1.3% to 150","−0.3","2.0","4.2","Same","H-3"
"Opadry® II Blue","Crystalline","1.7% to 175","−0.4","2.0","3.9","Same","H-3"
"Opadry® II Clear","Crystalline","1.6% to 150","−0.2","2.7","5.7","Same","H-3"
"Opadry® II White","Crystalline","9.5% to 175","−0.4","1.5","2.7","Same","H-3"
"Opadry® II Yellow","Crystalline","1.0% to 150","0.0","2.5","4.4","Same","H-3"
"Pentetic Acid","Crystalline","NA","0.0","0.0","0.0","Same","H-1"
"Poloxamer 188 (Kolliphor® P 188)","Crystalline","0.3% to 150","−0.1","0.6","1.2","Same","H-2"
"Potassium Phosphate Dibasic","Crystalline","0.0% to 200","0.5, 1.6","18.8, 16.9","99.3, 108.5","Liquid, Liquid","H-4"
"Potassium Phosphate Monobasic","Crystalline","0.0% to 200","0, 0","0, 0","0, 0","Same, Same","H-1"
"Povidone (Plasdone K-29/32)","Amorphous","5.9% to 125","3.3","14.1","27.2","Liquid","H-4"
"Sodium Dodecyl Sulfate","Crystalline","NA","0.0","0.2","2.2","Same","H-3"
"Sodium Phosphate Dibasic","Crystalline","0.3% to 150","0.0","3.7","26.6","Different","H-4"
"Sodium Starch Glycolate (Explotab®)","Amorphous","8.0% to 150","0.0","7.4","20.0","Same","H-4"
"Sodium Stearyl Fumarate (PRUV®)","Crystalline","3.0% to 150","0.0","0.0","0.0","Same","H-1"
"Soluplus®","Amorphous","2.7% to 175","−0.5","3.8","9.6","Same","H-3"
"Stearic Acid","Crystalline","0.0% to 125","0.0","0.0","0.0","Same","H-1"
"Succinic Acid","Crystalline","0.0% to 125","0.0","0.0","0.1","Same","H-1"
"Sucrose","Crystalline","0.0% to 150","0.0","0.0","0.0","Same","H-1"
