"Raw Material","Crystallinity pre-DVS","Weight Loss (%wt to Temp °C)","% Weight Change (25 °C)",,,"Crystallinity post-DVS","Hygroscopicity classification"
"30% RH (%)","65% RH (%)","80% RH (%)"
"(alpha)-Lipoic Acid","Crystalline","0.2% to 150","0.0","0.0","0.0","Same","H-1"
"1,4-Dithiothreitol (DTT)","Crystalline","1.5% to 125","0.0","0.4","9.9","Liquid","H-3"
"2-(N-Morpholino)ethanesulfonic Acid (MES)","Crystalline","NA","7.3","1.2","1.2","Different","H-3"
"2-(N-Morpholino)ethanesulfonic Acid Potassium (MES Potassium)","Crystalline","NA","0.0","0.2","68.8","Liquid","H-4"
"2-(N-Morpholino)ethanesulfonic Acid Sodium (MES sodium)","Crystalline","3.8% to 100","0.0","11.9","28.2","Different","H-4"
"3-(Cyclohexylamino)-1-propanesulfonic Acid (CAPS)","Crystalline","1.9% to 100","0.0","0.6","1.5","Different","H-2"
"3-(N-Morpholino)propanesulfonic Acid (MOPS)","Crystalline","0.0% to 150","0.0","0.0","8.6","Different","H-3"
"3-(N-Morpholino)propanesulfonic Acid Sodium (MOPS Sodium)","Crystalline","2.5% to 100","0.0","12.1","24.5","Liquid","H-4"
"Ammonium Ferric Citrate","Amorphous","11.0% to 175","3.2","7.9","17.5","Liquid","H-4"
"Ammonium Sulfate","Crystalline","0% to 150","0.0","0.0","0.0","Same","H-1"
"Aurintricarboxylic Acid","Amorphous","7.1% to 175","0.0","1.0","3.9","Same","H-3"
"Aurintricarboxylic Acid Ammonium","Amorphous","NA","0.1","5.2","11.7","Same","H-3"
"Betaine","Crystalline","1.7% to 150","1.8","14.9","101.9","Liquid","H-4"
"Betaine Hydrochloride","Crystalline","NA","0.0","0.0","0.2","Different","H-1"
"Bis-Tris","Crystalline","0.2% to 150","0.0","0.2","0.6","Same","H-2"
"Bis-Tris Propane","Crystalline","0.0% to 175","0.0","0.0","0.0","Same","H-1"
"Boric Acid","Crystalline","0.1% to 100","0.0","0.0","0.0","Same","H-1"
"Butyric Acid Sodium","Crystalline","0.2% to 150","0.0","2.2","148.5","Liquid","H-4"
"Caffeine","Crystalline","0.1%, 0.3% to 150","0, 0","0.1, 0","0.1, 0.1","Same, Same","H-1"
"Calcium Chloride","Crystalline","45.0% to 175","26.6","43.2","177.3","Liquid","H-4"
"Choline Chloride","Deliquesced","1.0% to 175","10.1","28.6","83.1","Liquid","H-4"
"Cystamine Dihydrochloride","Crystalline","0.0% to 150","0.0","0.0","30.7","Liquid","H-4"
"Cysteamine Hydrochloride","Amorphous","0.9% to 175","−0.6","24.9","84.6","Liquid","H-4"
"Dextrose (Supplier 1, Lot 1)","Crystalline","0% to 150","0, 0, 0","0.1, 0, 0","0.6, 0.4, 0.6","Different, NA, NA","H-2"
"Dextrose (Supplier 1, Lot 2)","Crystalline","NA","0, 0","0, 0","0.3, 0.3","Different, NA","H-2"
"Dextrose (Supplier 2)","Crystalline","0% to 150","0, 0","0, 0.1","4.2, 1.9","Different, NA","H-3"
"D-(+)-Galactose","Crystalline","0.0% to 150","0.0","0.0","0.0","Same","H-1"
"D-Biotin","Crystalline","0.0% to 175","0.0","0.0","0.0","Same","H-1"
"D-Pantothenic Acid","Amorphous","6.7% to 150","−0.2","2.6","8.0","Liquid","H-3"
"Ferric Ammonium Citrate","Amorphous","5.0% to 150","1.2","14.3","27.7","Liquid","H-4"
"Folic Acid (dihydrate)","Crystalline","7.5% to 175","0.0","0.3","0.5","Same","H-2"
"Guanidine Hydrochloride","Crystalline","0.0% to 150","0.0","6.6","87.7","Liquid","H-4"
"Hexafluorophosphate Benzotriazole Tetramethyl Uronium (HBTU)","Crystalline","0.1% to 150","0.0","0.0","0.0","Different","H-1"
"Hexamethylene Bisacetamide (HMBA)","Crystalline","0.2% to 150","0.0","0.0","0.0","Same","H-1"
"Hydrocortisone","Crystalline","0.0% to 150","0.0","0.0","0.0","Same","H-1"
"Imidazole","Crystalline","0.3% to 100","0.0","0.0","2.0","Different","H-3"
"Iron(III) Citrate (monohydrate)","Amorphous","8.1% to 150","0.0","0.7","1.7","Same","H-2"
"Isopropyl (beta)-D-1-thiogalactopyranoside (IPTG)","Crystalline","7.0% to 125","0.0","0.1","0.2","Same","H-2"
"Kanamycin Sulfate","Crystalline","0.5% to 150","0.0","0.1","0.2","Same","H-2"
"L-Carnosine","Crystalline","0.1% to 150","−0.1","0.0","0.1","Same","H-1"
"L-Cystine","Crystalline","0.0% to 150","0.0","0.0","0.0","Same","H-1"
"L-Cystine Dihydrochloride","Crystalline","0.1% to 150","0.0","0.0","0.6","Different","H-2"
"Linoleic Acid","Amorphous","5.9% to 150","−0.3","5.6","9.5","Same","H-3"
"L-Methionine Sulfoximine","Crystalline","0.1% to 150","0.0","0.0","0.1","Same","H-1"
"Magnesium Chloride","Crystalline","1.0% to 175","49.6","48.1","192.1","Liquid","H-4"
"Magnesium Sulfate","Crystalline","2.2% to 175","2.1","34.6","88.3","Different","H-4"
"Maltitol","Crystalline","NA","0.0","0.0","0.0","Same","H-1"
"N-β-Ketocaproyl-DL-Homoserine Lactone","Crystalline","0.0% to 125","0.0","0.7","1.5","Same","H-2"
"Niacin","Crystalline","0.1% to 125","0.0","0.0","0.0","Same","H-1"
"Niacinamide","Crystalline","4.1% to 175","0.0","0.0","0.0","Same","H-1"
"Polyethylene Glycol 3000","Crystalline","0.3% to 175","−0.1","0.5","2.7","Same","H-3"
"Polyethylene Glycol 4000","Crystalline","0.2% to 150","0.0","0.5","1.2","Same","H-2"
"Polyethylene Glycol 6000","Crystalline","0.3% to 175","0.0","0.5","1.1","Same","H-2"
"Polyvinyl Alcohol (Mowiol® 4-88)","Amorphous","1.1% to 175","0.1","1.5","10.2","Same","H-3"
"Potassium Chloride","Crystalline","0.0% to 150","0.0","0.0","0.0","Same","H-1"
"Potassium Hydrogen Carbonate","Crystalline","0.1% to 125","0.0","1.0","4.9","Liquid","H-3"
"Pyridoxine Hydrochloride","Crystalline","0.0% to 150","0.0","0.0","0.0","Same","H-1"
"Riboflavin","Crystalline","0.2% to 150","0.4","1.3","5.0","Different","H-3"
"Sodium Acetate","Crystalline","1.9% to 75","0.8","8.8","49.9","Liquid","H-4"
"Sodium Bicarbonate","Crystalline","0.1% to 100","0.0","0.0","0.0","Same","H-1"
"Sodium Carbonate","Crystalline","0.0% to 150","0.0","0.0","22.4","Different","H-4"
"Sodium Chloride","Crystalline","0.0% to 150","0.0","0.0","18.5","Liquid","H-4"
"Sodium Deoxycholate (OmniPur®)","Crystalline","7.9% to 150","0.0","9.2","9.9","Same","H-3"
"Sodium Hexametaphosphate","Amorphous","0.2% to 150","0.0","5.0","48.1","Liquid","H-4"
"Sodium Hydroxide (pellets)","Crystalline","1.9% to 150","23.2","54.4","138.4","Liquid","H-4"
"Sodium Pyruvate","Crystalline","0.1% to 150","0.0","0.1","0.5","Same","H-2"
"Sodium Sulfate","Crystalline","0.0% to 150","0.0","0.0","0.0","Different","H-1"
"Sodium Thioglycolate","Crystalline","0.0% to 150","0.0","0.0","129.6","Liquid","H-4"
"Spermine Tetrahydrochloride","Crystalline","0.0% to 150","0.0","0.0","0.0","Same","H-1"
"Thiamine Hydrochloride","Crystalline","3.7% to 125","0.0","0.90","1.0","Same","H-2"
"Triiodothyronine Sodium","Crystalline","0.8% to 150","0.3","3.1","16.5","Same","H-4"
"Tris(2-carboxyethyl)phosphine Hydrochloride (TCEP-HCl)","Crystalline","0.0% to 125","0.0","0.0","9.7","Different","H-3"
"Tris(hydroxymethyl)aminomethane (TRIS)","Crystalline","0.0% to 150","0.0","0.0","0.0","Different","H-1"
"Tris(hydroxymethyl)aminomethane Hydrochloride (TRIS HCl)","Crystalline","0.0% to 120","0.0","0.0","0.1","Same","H-1"
"Urea","Crystalline","0.0% to 125","0.0","0.0","15.6","Liquid","H-4"
"Vitamin B12","Crystalline","NA","2.0","6.7","10.4","Amorphous","H-3"
"Zinc Chloride","Crystalline","1.0% to 175","24.2","34.2","92.7","Liquid","H-4"
