"Raw Material","Crystallinity Pre-DVS","Weight loss (%wt to Temp °C)","Theoretical Water Content (%)","% Weight change (25 °C)",,,"Crystallinity post-DVS","Hygroscopicity classification"
"30% RH (%)","65% RH (%)","80% RH (%)"
"Betaine Monohydrate","Crystalline","NA","13.3","0.0","11.6","84.4","Liquid","H-4"
"Calcium Chloride Dihydrate","Crystalline","24.2% to 165","24.5","15.2","47.6","158.3","Liquid","H-4"
"Citric Acid Monohydrate","Crystalline","6.4% to 175","8.6","−0.3, −0.4","0, 0.3","4.6, 7.4","Different, Different","H-3"
"Cobalt Chloride Hexahydrate","Crystalline","42.1% to 175","45.0","0.0","0.6","93.7","Liquid","H-4"
"Cupric Sulfate Pentahydrate","Crystalline","26.3% to 155","36.0","−0.8","3.2","3.2","Different","H-1a"
"Dextrose Monohydrate","Crystalline","9.3% to 175","9.1","0.0","0.1","0.3","Same","H-2"
"Dicalcium Phosphate Dihydrate","Crystalline","4.8% to 165","20.9","0.0","0.0","0.1","Same","H-1"
"Ethylenediaminetetraacetic Acid Disodium Dihydrate (EDTA)","Crystalline","9.6%, 9.7% to 235","9.7","0, 0","0, 0","0.1, 0","Same, Same","H-1"
"Ferric Chloride Hexahydrate","Amorphous","54.9% to 205","40.0","−0.2","28.8","135.7","Liquid","H-4"
"Lactose Monohydrate (Fast Flo® 316)","Crystalline","4.9% to 175","5.0","0.0","0.1","0.2","Same","H-1"
"Lactose Monohydrate (GanuLac® 140)","Crystalline","5.0% to 175","5.0","0.0","0.0","0.0","Same","H-1"
"Lactose Monohydrate (Impalpable 313)","Crystalline","5.1% to 175","5.0","0.0","0.0","0.1","Same","H-1"
"Lactose Monohydrate (Tablettose® 80)","Crystalline","5.7% to 175","5.0","0.0","0.0","0.0","Same","H-1"
"L-Asparagine Monohydrate","Crystalline","11.3% to 125","12.0","0.0","0.0","0.0","Different","H-1"
"L-Cysteine Hydrochloride Monohydrate","Crystalline","9.3% to 155","10.0","0.0","0.2","0.4","Same","H-2"
"L-Histidine Hydrochloride Monohydrate","Crystalline","3.7%, 12.0% to 175","8.6","0, 0","0, 0","0, 0","Different, Different","H-1"
"L-Tyrosine Disodium Dihydrate","Crystalline","14.2% to 175","13.8","0.0","12","98","Liquid","H-4"
"Magnesium Chloride Hexahydrate","Crystalline","46.0% to 225","53.0","−0.1","46.4","131.6","Liquid","H-4"
"Magnesium Sulfate Heptahydrate","Crystalline","41.9% to 175","51.0","−2.0","1.8","2.3","Different","H-1a"
"Manganese Sulfate Monohydrate","Crystalline","0.0% to 175","10.6","0.0","0.1","0.3","Same","H-2"
"2-(N-Morpholino)ethanesulfonic Acid Monohydrate","Crystalline","8.4% to 155","8.4","0.0","0.0","0.0","Same","H-1"
"N-α-Acetyl-L-Arginine Dihydrate","Crystalline","13.7% to 155","14.3","0.0","0.0","0.0","Different","H-1"
"N-Acetyl-D-Mannosamine Monohydrate","Crystalline","5.4% to 155","7.5","0.0","0.0","0.0","Same","H-1"
"Sodium Acetate Trihydrate","Crystalline","38.2% to 155","39.7","0.0","0.0","19.6","Liquid","H-4"
"Sodium Borate Decahydrate","Crystalline","38.1% to 175","47.2","−0.1","0.0","0.5","Same","H-2"
"Sodium Carbonate Monohydrate","Crystalline","14.7% to 125","14.5","0.0","0.0","12.3","Same","H-3"
"Sodium Citrate Dihydrate","Crystalline","11.1% to 175","12.2","0.0","0.0","0.0","Different","H-1"
"Sodium Hydrogen Sulfate Monohydrate","Crystalline","7.0% to 175","13.0","0.0","10.3","94.5","Liquid","H-4"
"Sodium Molybdate Dihydrate","Crystalline","14.7% to 155","14.9","0.0","0.0","0.2","Same","H-1"
"Sodium Phosphate Dibasic Dihydrate","Crystalline","11.4 % to 125","20.2","0.0","0.0","5.8","Different","H-3"
"Sodium Phosphate Dibasic Heptahydrate","Crystalline","26.3% to 125","44.0","−11.2","2.0","11.1","Different","H-1a"
"Sodium Phosphate Dibasic Dodecahydrate","Crystalline","51.7% to 155","60.3","−19.4","−2.0","−2.2","Different","H-1a"
"Sodium Phosphate Monobasic Monohydrate","Crystalline","13.8% to 175","13.1","0.0","0.0","2.9","Different","H-3"
"Sodium Phosphate Monobasic Dihydrate","Crystalline","17.0% to 155","23.0","−1.2","2.3","9.2","Different","H-3"
"Sodium Phosphate Tribasic Dodecahydrate","Crystalline","51.9% to 175","56.8","−2.8","1.6","3.6","Different","H-1a"
"Trehalose Dihydrate","Crystalline","9.2% to 175","9.5","0.0","0.0","0.0","Different","H-1"
