"Raw material","Crystallinity pre-DVS","Weight Loss (%wt to Temp °C)","% Weight change (25 °C)",,,"Crystallinity post-DVS","Hygroscopicity classification"
"30% RH (%)","65% RH (%)","80%RH (%)"
"Glycine","Crystalline","0.0% to 155","0.0","0.0","0.0","Same","H-1"
"L-Alanine","Crystalline","0.0% to 175","0.0","0.0","0.0","Same","H-1"
"L-Arginine","Crystalline","NA","0, 0, 0","15.7, 15.8, 12.6","20.5, 20.5, 20.3","NA","H-4"
"L-Arginine Hydrochloride","Crystalline","0%, 0%, 0% to 175","0, 0, 0","0, 0, 0","0, 0.2, 0","Same, Same, Same","H-1"
"L-Aspartic Acid","Crystalline","0.0% to 175","0.0","0.0","0.0","Same","H-1"
"L-Cysteine","Crystalline","0.0% to 155","0.0","0.0","0.0","Different","H-1"
"L-Cysteine Dihydrochloride","Crystalline","1.8% to 155","0.0","6.1","11.8","Different","H-3"
"L-Glutamic Acid","Crystalline","0.0% to 155","0.0","0.0","0.0","Same","H-1"
"L-Glutamine","Crystalline","0.0% to 155","0.0","0.0","0.0","Same","H-1"
"L-Histidine","Crystalline","0.0% to 225","0.0","0.0","0.0","Same","H-1"
"L-Isoleucine","Crystalline","0.0% to 155","0.0","0.0","0.0","Same","H-1"
"L-Leucine","Crystalline","0.0% to 155","0.0","0.0","0.0","Different","H-1"
"L-Lysine Hydrochloride","Crystalline","0.2% to 155","0.0","0.1","19.2","Different","H-4"
"L-Methionine","Crystalline","0% to 155","0.0","0.0","0.0","Same","H-1"
"L-Phenylalanine","Crystalline","0%, 0% to 155","0, 0","0, 0","0, 0","Same, Same","H-1"
"L-Proline","Crystalline","0.3% to 155","−0.3","13.5","85.4","Liquid","H-4"
"L-Serine","Crystalline","0%, 0% to 175","0, 0","0, 0","0, 0","Different, Different","H-1"
"L-Threonine","Crystalline","0.2% to 175","0.0","0.0","0.0","Same","H-1"
"L-Tryptophan","Crystalline","0%, 0% to 175","0, 0","0, 0","0, 0.1","Same","H-1"
"L-Tyrosine","Crystalline","NA","0.0","0.0","0.0","Same","H-1"
"L-Tyrosine Hydrochloride","Crystalline","NA","0.0","0.0","−0.2","Same","H-1"
"L-Valine","Crystalline","0.0% to 155","0.0","0.0","0.1","Same","H-1"
