"Raw Material","Crystallinity Pre-DVS","Composition (%wt H-3 and H-4)","% Weight Change (25 °C)",,,"Crystallinity Post-DVS","Hygroscopicity Classification"
"30% RH (%)","65% RH (%)","80% RH (%)"
"Media 1","Crystalline","NA","0.0","0.4","28.8","Liquid","H-4"
"Media 2","Crystalline","NA","0.0","0.0","0.1","Same","H-1"
"Media 3","Crystalline","NA","−0.2","12.4","39.4","Liquid","H-4"
"Media 4","Crystalline","NA","0.7","10.5","99.2","Liquid","H-4"
"Media 5","Crystalline","NA","0.0","0.0","0.1","Same","H-1"
"Media 6","Crystalline","17.5%","0.2","16.4","52.2","Liquid","H-4"
"Media 7","Crystalline","42.7%","1.5","18.6","53.8","Liquid","H-4"
"Media 8","Crystalline","31.3%","1.1","18.6","56.1","Liquid","H-4"
"Media 9","Crystalline","11.6%","0.2","15.1","44.3","Liquid","H-4"
"Media 10","Crystalline","20.2%","−0.1","11.3","33.2","Liquid","H-4"
"Media 11","Crystalline","NA","0.0","11.3","87.0","Liquid","H-4"
"Media 12","Crystalline","6.3%","−0.2","5.6","30.5","Liquid","H-4"
"HEPES","Crystalline","NA","0.0","0.0","18.8","Different","H-4"
"DMEM/F12-2X","Crystalline","NA","0, 0.1","9.2, 8.0","97.8, 82.2","Liquid, Liquid","H-4"
"Dulbecco's Phosphate Buffered Saline Powder","Crystalline","NA","0.0","1.9","51.2","Liquid","H-4"
"MEM Vitamin Powder","Crystalline","NA","−0.3","1.5","33.3","Liquid","H-4"
"Peptone from Casein, Pancreatic Digest","Crystalline","NA","1.1","18.4","39.4","Liquid","H-4"
"Soy Hydrolysate (Hy-Soy)","Amorphous","NA","1.1, 0.6, 1.2","14.0, 12.8, 19.5","43.1, 34.5, 46.7","Liquid, Liquid, Liquid","H-4"
"Tissue Culture Yeastolate Ultra-Filtered (DifcoTM)","Crystalline","NA","0.4","16.2","41.4","Liquid","H-4"
"Tryptic Soy Broth (NutriSelectTM Plus)","Crystalline","NA","1.5","16.6","51.0","Liquid","H-4"
"Yeast Extract","Amorphous","NA","3.6","15.4","38.4","Liquid","H-4"
