"Raw Material","% Weight Change (25 °C)",,,"Hygroscopicity Classification"
"30% RH (%)","65% RH (%)","80% RH (%)"
"Dimethyl Sulfoxide","NA","NA","97.9","H-4"
"Dimethylformamide","NA","NA","12.2a","H-3"
"DL-Lactic Acid","−5.5","8.2","37.7","H-4"
"Ethanolamine","11.1","22.9","63.2","H-4"
"Glycerol","5.2","14.0","57.7","H-4"
"Methanesulfonic Acid","NA","NA","49.4a","H-4"
"Octylphenol Ethoxylate (TritonTM X-100)","0.9","2.9","9.0","H-3"
"Polypropylene Glycol","0.0","0.8","1.4","H-2"
"Polysorbate 20","−0.5","6.1","17.6","H-4"
"Polysorbate 80","−0.9","4.8","14.5","H-3"
"Propylene Glycol","5.6","19.1","52.3","H-4"
"Silicone Oil (viscosity 100 cSt at 25C)","0.0","0.0","0.0","H-1"
